candidate_rank,recommended_status,shard,symbol,market,asset_class,tradability,currency,timezone,source,source_symbol,yahoo_symbol,prior_attempt_classification,prior_attempt_action,priority_score,priority_reason,notes
65,selected_to_reach_200,shard_04,2800.HK,HK,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,HKD,Asia/Hong_Kong,moomoo_opend,HK.2800,2800.HK,not_attempted_in_batch81_140,not_attempted,122,adds_non_us_market_coverage;adds_etf_behavior_sample;not_yet_attempted_avoids_repeated_quota_failure,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
66,selected_to_reach_200,shard_04,2822.HK,HK,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,HKD,Asia/Hong_Kong,moomoo_opend,HK.2822,2822.HK,not_attempted_in_batch81_140,not_attempted,122,adds_non_us_market_coverage;adds_etf_behavior_sample;not_yet_attempted_avoids_repeated_quota_failure,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
67,selected_to_reach_200,shard_04,511010.SS,CN_ETF,BOND,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,CNY,Asia/Shanghai,moomoo_opend,SH.511010,511010.SS,not_attempted_in_batch81_140,not_attempted,120,adds_non_us_market_coverage;adds_non_equity_asset_sample;not_yet_attempted_avoids_repeated_quota_failure,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
68,selected_to_reach_200,shard_04,511220.SS,CN_ETF,BOND,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,CNY,Asia/Shanghai,moomoo_opend,SH.511220,511220.SS,not_attempted_in_batch81_140,not_attempted,120,adds_non_us_market_coverage;adds_non_equity_asset_sample;not_yet_attempted_avoids_repeated_quota_failure,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
69,selected_to_reach_200,shard_04,518880.SS,CN_ETF,COMMODITY,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,CNY,Asia/Shanghai,moomoo_opend,SH.518880,518880.SS,not_attempted_in_batch81_140,not_attempted,120,adds_non_us_market_coverage;adds_non_equity_asset_sample;not_yet_attempted_avoids_repeated_quota_failure,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
70,selected_to_reach_200,shard_04,BAC,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,moomoo_opend,US.BAC,BAC,not_attempted_in_batch81_140,not_attempted,87,fills_us_stock_underrepresentation;adds_stock_behavior_sample;not_yet_attempted_avoids_repeated_quota_failure,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
71,selected_to_reach_200,shard_04,C,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,moomoo_opend,US.C,C,not_attempted_in_batch81_140,not_attempted,87,fills_us_stock_underrepresentation;adds_stock_behavior_sample;not_yet_attempted_avoids_repeated_quota_failure,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
72,selected_to_reach_200,shard_04,COIN,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,moomoo_opend,US.COIN,COIN,not_attempted_in_batch81_140,not_attempted,87,fills_us_stock_underrepresentation;adds_stock_behavior_sample;not_yet_attempted_avoids_repeated_quota_failure,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
73,selected_to_reach_200,shard_04,ENPH,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,moomoo_opend,US.ENPH,ENPH,not_attempted_in_batch81_140,not_attempted,87,fills_us_stock_underrepresentation;adds_stock_behavior_sample;not_yet_attempted_avoids_repeated_quota_failure,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
74,selected_to_reach_200,shard_04,FSLR,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,moomoo_opend,US.FSLR,FSLR,not_attempted_in_batch81_140,not_attempted,87,fills_us_stock_underrepresentation;adds_stock_behavior_sample;not_yet_attempted_avoids_repeated_quota_failure,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
75,selected_to_reach_200,shard_04,GS,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,moomoo_opend,US.GS,GS,not_attempted_in_batch81_140,not_attempted,87,fills_us_stock_underrepresentation;adds_stock_behavior_sample;not_yet_attempted_avoids_repeated_quota_failure,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
76,selected_to_reach_200,shard_04,MS,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,moomoo_opend,US.MS,MS,not_attempted_in_batch81_140,not_attempted,87,fills_us_stock_underrepresentation;adds_stock_behavior_sample;not_yet_attempted_avoids_repeated_quota_failure,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
77,selected_to_reach_200,shard_04,PYPL,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,moomoo_opend,US.PYPL,PYPL,not_attempted_in_batch81_140,not_attempted,87,fills_us_stock_underrepresentation;adds_stock_behavior_sample;not_yet_attempted_avoids_repeated_quota_failure,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
78,selected_to_reach_200,shard_04,SCHW,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,moomoo_opend,US.SCHW,SCHW,not_attempted_in_batch81_140,not_attempted,87,fills_us_stock_underrepresentation;adds_stock_behavior_sample;not_yet_attempted_avoids_repeated_quota_failure,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
79,selected_to_reach_200,shard_04,SQ,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,moomoo_opend,US.SQ,SQ,not_attempted_in_batch81_140,not_attempted,87,fills_us_stock_underrepresentation;adds_stock_behavior_sample;not_yet_attempted_avoids_repeated_quota_failure,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
80,selected_to_reach_200,shard_04,WFC,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,moomoo_opend,US.WFC,WFC,not_attempted_in_batch81_140,not_attempted,87,fills_us_stock_underrepresentation;adds_stock_behavior_sample;not_yet_attempted_avoids_repeated_quota_failure,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
81,selected_to_reach_200,shard_05,ABNB,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,moomoo_opend,US.ABNB,ABNB,opend_quota_exhausted,retry_after_quota_release,80,fills_us_stock_underrepresentation;adds_stock_behavior_sample;known_symbol_but_quota_failed,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
82,selected_to_reach_200,shard_05,AMAT,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,moomoo_opend,US.AMAT,AMAT,opend_quota_exhausted,retry_after_quota_release,80,fills_us_stock_underrepresentation;adds_stock_behavior_sample;known_symbol_but_quota_failed,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
83,selected_to_reach_200,shard_05,AMD,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,moomoo_opend,US.AMD,AMD,opend_quota_exhausted,retry_after_quota_release,80,fills_us_stock_underrepresentation;adds_stock_behavior_sample;known_symbol_but_quota_failed,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
84,selected_to_reach_200,shard_05,AVGO,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,moomoo_opend,US.AVGO,AVGO,opend_quota_exhausted,retry_after_quota_release,80,fills_us_stock_underrepresentation;adds_stock_behavior_sample;known_symbol_but_quota_failed,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
85,selected_to_reach_200,shard_05,BA,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,moomoo_opend,US.BA,BA,opend_quota_exhausted,retry_after_quota_release,80,fills_us_stock_underrepresentation;adds_stock_behavior_sample;known_symbol_but_quota_failed,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
86,selected_to_reach_200,shard_05,BKNG,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,moomoo_opend,US.BKNG,BKNG,opend_quota_exhausted,retry_after_quota_release,80,fills_us_stock_underrepresentation;adds_stock_behavior_sample;known_symbol_but_quota_failed,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
87,selected_to_reach_200,shard_05,CAT,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,moomoo_opend,US.CAT,CAT,opend_quota_exhausted,retry_after_quota_release,80,fills_us_stock_underrepresentation;adds_stock_behavior_sample;known_symbol_but_quota_failed,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
88,selected_to_reach_200,shard_05,CMCSA,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,moomoo_opend,US.CMCSA,CMCSA,opend_quota_exhausted,retry_after_quota_release,80,fills_us_stock_underrepresentation;adds_stock_behavior_sample;known_symbol_but_quota_failed,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
89,selected_to_reach_200,shard_05,COP,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,moomoo_opend,US.COP,COP,opend_quota_exhausted,retry_after_quota_release,80,fills_us_stock_underrepresentation;adds_stock_behavior_sample;known_symbol_but_quota_failed,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
90,selected_to_reach_200,shard_05,CSCO,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,moomoo_opend,US.CSCO,CSCO,opend_quota_exhausted,retry_after_quota_release,80,fills_us_stock_underrepresentation;adds_stock_behavior_sample;known_symbol_but_quota_failed,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
91,selected_to_reach_200,shard_05,CVX,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,moomoo_opend,US.CVX,CVX,opend_quota_exhausted,retry_after_quota_release,80,fills_us_stock_underrepresentation;adds_stock_behavior_sample;known_symbol_but_quota_failed,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
92,selected_to_reach_200,shard_05,DE,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,moomoo_opend,US.DE,DE,opend_quota_exhausted,retry_after_quota_release,80,fills_us_stock_underrepresentation;adds_stock_behavior_sample;known_symbol_but_quota_failed,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
93,selected_to_reach_200,shard_05,DIS,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,moomoo_opend,US.DIS,DIS,opend_quota_exhausted,retry_after_quota_release,80,fills_us_stock_underrepresentation;adds_stock_behavior_sample;known_symbol_but_quota_failed,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
94,selected_to_reach_200,shard_05,GE,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,moomoo_opend,US.GE,GE,opend_quota_exhausted,retry_after_quota_release,80,fills_us_stock_underrepresentation;adds_stock_behavior_sample;known_symbol_but_quota_failed,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
95,selected_to_reach_200,shard_05,IBM,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,moomoo_opend,US.IBM,IBM,opend_quota_exhausted,retry_after_quota_release,80,fills_us_stock_underrepresentation;adds_stock_behavior_sample;known_symbol_but_quota_failed,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
96,selected_to_reach_200,shard_05,INTC,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,moomoo_opend,US.INTC,INTC,opend_quota_exhausted,retry_after_quota_release,80,fills_us_stock_underrepresentation;adds_stock_behavior_sample;known_symbol_but_quota_failed,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
97,selected_to_reach_200,shard_05,KO,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,moomoo_opend,US.KO,KO,opend_quota_exhausted,retry_after_quota_release,80,fills_us_stock_underrepresentation;adds_stock_behavior_sample;known_symbol_but_quota_failed,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
98,selected_to_reach_200,shard_05,LMT,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,moomoo_opend,US.LMT,LMT,opend_quota_exhausted,retry_after_quota_release,80,fills_us_stock_underrepresentation;adds_stock_behavior_sample;known_symbol_but_quota_failed,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
99,selected_to_reach_200,shard_05,LOW,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,moomoo_opend,US.LOW,LOW,opend_quota_exhausted,retry_after_quota_release,80,fills_us_stock_underrepresentation;adds_stock_behavior_sample;known_symbol_but_quota_failed,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
100,selected_to_reach_200,shard_05,MCD,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,moomoo_opend,US.MCD,MCD,opend_quota_exhausted,retry_after_quota_release,80,fills_us_stock_underrepresentation;adds_stock_behavior_sample;known_symbol_but_quota_failed,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
101,reserve,,MU,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,moomoo_opend,US.MU,MU,opend_quota_exhausted,retry_after_quota_release,80,fills_us_stock_underrepresentation;adds_stock_behavior_sample;known_symbol_but_quota_failed,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
102,reserve,,NEE,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,moomoo_opend,US.NEE,NEE,opend_quota_exhausted,retry_after_quota_release,80,fills_us_stock_underrepresentation;adds_stock_behavior_sample;known_symbol_but_quota_failed,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
103,reserve,,NKE,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,moomoo_opend,US.NKE,NKE,opend_quota_exhausted,retry_after_quota_release,80,fills_us_stock_underrepresentation;adds_stock_behavior_sample;known_symbol_but_quota_failed,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
104,reserve,,NOW,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,moomoo_opend,US.NOW,NOW,opend_quota_exhausted,retry_after_quota_release,80,fills_us_stock_underrepresentation;adds_stock_behavior_sample;known_symbol_but_quota_failed,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
105,reserve,,ORCL,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,moomoo_opend,US.ORCL,ORCL,opend_quota_exhausted,retry_after_quota_release,80,fills_us_stock_underrepresentation;adds_stock_behavior_sample;known_symbol_but_quota_failed,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
106,reserve,,PANW,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,moomoo_opend,US.PANW,PANW,opend_quota_exhausted,retry_after_quota_release,80,fills_us_stock_underrepresentation;adds_stock_behavior_sample;known_symbol_but_quota_failed,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
107,reserve,,PEP,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,moomoo_opend,US.PEP,PEP,opend_quota_exhausted,retry_after_quota_release,80,fills_us_stock_underrepresentation;adds_stock_behavior_sample;known_symbol_but_quota_failed,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
108,reserve,,PLTR,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,moomoo_opend,US.PLTR,PLTR,opend_quota_exhausted,retry_after_quota_release,80,fills_us_stock_underrepresentation;adds_stock_behavior_sample;known_symbol_but_quota_failed,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
109,reserve,,QCOM,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,moomoo_opend,US.QCOM,QCOM,opend_quota_exhausted,retry_after_quota_release,80,fills_us_stock_underrepresentation;adds_stock_behavior_sample;known_symbol_but_quota_failed,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
110,reserve,,RTX,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,moomoo_opend,US.RTX,RTX,opend_quota_exhausted,retry_after_quota_release,80,fills_us_stock_underrepresentation;adds_stock_behavior_sample;known_symbol_but_quota_failed,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
111,reserve,,SBUX,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,moomoo_opend,US.SBUX,SBUX,opend_quota_exhausted,retry_after_quota_release,80,fills_us_stock_underrepresentation;adds_stock_behavior_sample;known_symbol_but_quota_failed,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
112,reserve,,SHOP,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,moomoo_opend,US.SHOP,SHOP,opend_quota_exhausted,retry_after_quota_release,80,fills_us_stock_underrepresentation;adds_stock_behavior_sample;known_symbol_but_quota_failed,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
113,reserve,,SLB,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,moomoo_opend,US.SLB,SLB,opend_quota_exhausted,retry_after_quota_release,80,fills_us_stock_underrepresentation;adds_stock_behavior_sample;known_symbol_but_quota_failed,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
114,reserve,,SNOW,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,moomoo_opend,US.SNOW,SNOW,opend_quota_exhausted,retry_after_quota_release,80,fills_us_stock_underrepresentation;adds_stock_behavior_sample;known_symbol_but_quota_failed,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
115,reserve,,TGT,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,moomoo_opend,US.TGT,TGT,opend_quota_exhausted,retry_after_quota_release,80,fills_us_stock_underrepresentation;adds_stock_behavior_sample;known_symbol_but_quota_failed,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
116,reserve,,TXN,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,moomoo_opend,US.TXN,TXN,opend_quota_exhausted,retry_after_quota_release,80,fills_us_stock_underrepresentation;adds_stock_behavior_sample;known_symbol_but_quota_failed,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
117,reserve,,UBER,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,moomoo_opend,US.UBER,UBER,opend_quota_exhausted,retry_after_quota_release,80,fills_us_stock_underrepresentation;adds_stock_behavior_sample;known_symbol_but_quota_failed,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
118,reserve,,WMT,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,moomoo_opend,US.WMT,WMT,opend_quota_exhausted,retry_after_quota_release,80,fills_us_stock_underrepresentation;adds_stock_behavior_sample;known_symbol_but_quota_failed,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
119,reserve,,XOM,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,moomoo_opend,US.XOM,XOM,opend_quota_exhausted,retry_after_quota_release,80,fills_us_stock_underrepresentation;adds_stock_behavior_sample;known_symbol_but_quota_failed,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
120,blocked_symbol_mapping,,BRK-B,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,moomoo_opend,US.BRK-B,BRK-B,symbol_mapping_required,fix_symbol_then_probe_one,-925,fills_us_stock_underrepresentation;adds_stock_behavior_sample;symbol_mapping_required_exclude_until_fixed,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
