seq,task_id,stage_id,stage_name,phase_id,phase_name,priority,size,title,objective,dependencies,deliverables,acceptance,value_metric,cost_metric,rollback,release_mode,status
47,ADP-S4-P02-T047,S4,2016+ A0/A1/A2 Expansion｜历史回填与地域扩展,S4-P02,A0 2016+ 历史 cohort,P1,L,执行 A0 2016+ Wave 2,只在 Wave 1 价值成本 Gate 通过后扩大中央/国家级覆盖。,ADP-S4-P02-T046,second cohort data、comparison report。,相对 Wave 1 无质量退化；单位成本在批准区间；失败源隔离。,完成前后必须报告对应 Stage 的用户价值指标。,报告新增请求、D1 行读写、R2 字节/操作、模型调用、人工维护量；未知不得填 0。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,SHADOW,NOT_STARTED
48,ADP-S4-P02-T048,S4,2016+ A0/A1/A2 Expansion｜历史回填与地域扩展,S4-P02,A0 2016+ 历史 cohort,P1,S,完成 A0 历史附件、修订和效力 QA Gate,验证历史不只是有 URL，而是有原文、附件、版本和状态。,ADP-S4-P02-T047,A0 acceptance pack、random readback、status/version samples。,100 个附件可读；修订链和 as-of 样本正确；0 个未解释 P0 缺口。,完成前后必须报告对应 Stage 的用户价值指标。,报告新增请求、D1 行读写、R2 字节/操作、模型调用、人工维护量；未知不得填 0。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,NOT_DEPLOYED,NOT_STARTED
49,ADP-S4-P03-T049,S4,2016+ A0/A1/A2 Expansion｜历史回填与地域扩展,S4-P03,A1 省级与重点城市 cohort,P1,M,实现省级政府门户通用 Adapter Family,用少量模板族覆盖 A1，而不是为每省复制一套业务代码。,ADP-S4-P02-T048,adapter family、site profiles、override hooks、fixtures。,至少 3 种不同省级站点模板通过；特殊逻辑限制在 profile。,完成前后必须报告对应 Stage 的用户价值指标。,报告新增请求、D1 行读写、R2 字节/操作、模型调用、人工维护量；未知不得填 0。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,NOT_DEPLOYED,NOT_STARTED
50,ADP-S4-P03-T050,S4,2016+ A0/A1/A2 Expansion｜历史回填与地域扩展,S4-P03,A1 省级与重点城市 cohort,P1,L,分批回填 31 个省级行政区,按 cohort 扩展省级政策、统计和专业主管部门数据。,ADP-S4-P03-T049,province cohorts、coverage/cost/health reports。,每批通过后才进入下一批；失败省隔离不阻塞全局。,完成前后必须报告对应 Stage 的用户价值指标。,报告新增请求、D1 行读写、R2 字节/操作、模型调用、人工维护量；未知不得填 0。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,SHADOW,NOT_STARTED
51,ADP-S4-P03-T051,S4,2016+ A0/A1/A2 Expansion｜历史回填与地域扩展,S4-P03,A1 省级与重点城市 cohort,P1,L,分批接入重点城市级 A1,覆盖省会、副省级、计划单列及关键创新制造金融外贸城市。,ADP-S4-P03-T049;ADP-S4-P03-T050,city cohort manifests、official identity、2016 cursors。,每个城市有明确价值和官方原文；不为凑数量启用低价值源。,完成前后必须报告对应 Stage 的用户价值指标。,报告新增请求、D1 行读写、R2 字节/操作、模型调用、人工维护量；未知不得填 0。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,SHADOW,NOT_STARTED
52,ADP-S4-P03-T052,S4,2016+ A0/A1/A2 Expansion｜历史回填与地域扩展,S4-P03,A1 省级与重点城市 cohort,P1,S,完成 A1 Coverage/Quality/Cost Gate,决定哪些省市进入持续生产，哪些降频或保持隔离。,ADP-S4-P03-T050;ADP-S4-P03-T051,A1 scorecard、promote/hold/disable decisions。,官方身份 100%；质量/及时/成本均有实际证据；决定可回滚。,完成前后必须报告对应 Stage 的用户价值指标。,报告新增请求、D1 行读写、R2 字节/操作、模型调用、人工维护量；未知不得填 0。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,NOT_DEPLOYED,NOT_STARTED
53,ADP-S4-P04-T053,S4,2016+ A0/A1/A2 Expansion｜历史回填与地域扩展,S4-P04,A2 重要区与功能区 cohort,P1,M,接入首批 10 个高价值 A2,先验证重要区、新区、自贸片区和高新区的增量价值。,ADP-S4-P03-T052,A2 pilot profiles、2016+ cursors、local action signals。,每个 A2 产生中央/省级之外的实质增量；无价值源不晋级。,完成前后必须报告对应 Stage 的用户价值指标。,报告新增请求、D1 行读写、R2 字节/操作、模型调用、人工维护量；未知不得填 0。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,SHADOW,NOT_STARTED
54,ADP-S4-P04-T054,S4,2016+ A0/A1/A2 Expansion｜历史回填与地域扩展,S4-P04,A2 重要区与功能区 cohort,P1,L,按边际价值扩展 A2 Registry,只扩展能提供项目、试点、招采、产业落地等第一线信号的 A2。,ADP-S4-P04-T053,A2 cohorts、marginal value report、health。,新增 cohort 的 verified useful signal rate 不低于既有 A2 基线。,完成前后必须报告对应 Stage 的用户价值指标。,报告新增请求、D1 行读写、R2 字节/操作、模型调用、人工维护量；未知不得填 0。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,SHADOW,NOT_STARTED
55,ADP-S4-P04-T055,S4,2016+ A0/A1/A2 Expansion｜历史回填与地域扩展,S4-P04,A2 重要区与功能区 cohort,P1,S,完成 A2 Production Gate,把稳定高价值 A2 晋级，其他保持 disabled/低频。,ADP-S4-P04-T054,promotion ledger、cost/quality evidence、rollback。,0 个仅因数量目标晋级；每个晋级 source 有实际 30 日健康证据。,完成前后必须报告对应 Stage 的用户价值指标。,报告新增请求、D1 行读写、R2 字节/操作、模型调用、人工维护量；未知不得填 0。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,NOT_DEPLOYED,NOT_STARTED
56,ADP-S4-P05-T056,S4,2016+ A0/A1/A2 Expansion｜历史回填与地域扩展,S4-P05,Coverage Debt 与 As-of,P1,M,上线 Coverage Debt 与 As-of 历史查询底座,展示 2016+ 哪些地域/年份/类型完整，并支持截至某日恢复当时已知版本。,ADP-S4-P02-T048;ADP-S4-P03-T052;ADP-S4-P04-T055,coverage API、as-of query、historical manifest resolver。,100 个修订样本查询不同日期不使用未来版本；覆盖空洞可解释。,完成前后必须报告对应 Stage 的用户价值指标。,报告新增请求、D1 行读写、R2 字节/操作、模型调用、人工维护量；未知不得填 0。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,NOT_DEPLOYED,NOT_STARTED
57,ADP-S5-P01-T057,S5,Multi-board Depth & Benefit Parity｜多板块深度与竞品收益对齐,S5-P01,事件、实体和跨板块关系,P1,S,实现 Canonical Event 聚合,把同一政策/研究/事件的原文、解读、转载和反应聚成一个事件。,ADP-S4-P05-T056,event identity、primary selection、member links。,20 个同事件页面只产生 1 个提醒；所有证据仍可展开。,完成前后必须报告对应 Stage 的用户价值指标。,报告新增请求、D1 行读写、R2 字节/操作、模型调用、人工维护量；未知不得填 0。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,NOT_DEPLOYED,NOT_STARTED
58,ADP-S5-P01-T058,S5,Multi-board Depth & Benefit Parity｜多板块深度与竞品收益对齐,S5-P01,事件、实体和跨板块关系,P1,S,实现跨来源实体解析,统一机关、机构、作者、公司、地区、主题和标准等实体。,ADP-S5-P01-T057,entity schema、aliases、provenance、merge/split audit。,错误合并可撤销；实体来源和置信边界可追溯。,完成前后必须报告对应 Stage 的用户价值指标。,报告新增请求、D1 行读写、R2 字节/操作、模型调用、人工维护量；未知不得填 0。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,NOT_DEPLOYED,NOT_STARTED
59,ADP-S5-P01-T059,S5,Multi-board Depth & Benefit Parity｜多板块深度与竞品收益对齐,S5-P01,事件、实体和跨板块关系,P1,S,建立跨板块 Evidence Relation,连接政策、论文、标准、专利、统计、试点和招采，而不建无边界大图谱。,ADP-S5-P01-T058,relation types、evidence rules、query examples。,每条关系有文档/片段依据；无证据推断明确标记或不保存。,完成前后必须报告对应 Stage 的用户价值指标。,报告新增请求、D1 行读写、R2 字节/操作、模型调用、人工维护量；未知不得填 0。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,NOT_DEPLOYED,NOT_STARTED
60,ADP-S5-P02-T060,S5,Multi-board Depth & Benefit Parity｜多板块深度与竞品收益对齐,S5-P02,精确、结构化、全文与历史检索,P1,S,实现文号/DOI/机构/地域/日期/状态精确检索,先达到专业用户的确定性检索收益。,ADP-S5-P01-T058,exact index、structured filters、test corpus。,100 条精确标识第一结果命中率 100%；过滤结果与 SQL 基准一致。,完成前后必须报告对应 Stage 的用户价值指标。,报告新增请求、D1 行读写、R2 字节/操作、模型调用、人工维护量；未知不得填 0。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,NOT_DEPLOYED,NOT_STARTED
61,ADP-S5-P02-T061,S5,Multi-board Depth & Benefit Parity｜多板块深度与竞品收益对齐,S5-P02,精确、结构化、全文与历史检索,P1,S,基准测试全文与语义重排,只有精确/结构化不足时才引入语义层，避免过早向量基础设施。,ADP-S5-P02-T060,FTS benchmark、semantic experiment、cost/latency/quality ADR。,语义层必须提升固定查询集且不绕过结构化过滤；否则不采用。,完成前后必须报告对应 Stage 的用户价值指标。,报告新增请求、D1 行读写、R2 字节/操作、模型调用、人工维护量；未知不得填 0。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,NOT_DEPLOYED,NOT_STARTED
62,ADP-S5-P02-T062,S5,Multi-board Depth & Benefit Parity｜多板块深度与竞品收益对齐,S5-P02,精确、结构化、全文与历史检索,P1,S,实现版本、As-of 与新旧对照 API/视图,让用户看到真正变化、历史状态和原文位置。,ADP-S5-P02-T060;ADP-S4-P05-T056,version timeline、diff payload、as-of UX integration。,增删改可定位；模板噪声不显示；旧版可回放。,完成前后必须报告对应 Stage 的用户价值指标。,报告新增请求、D1 行读写、R2 字节/操作、模型调用、人工维护量；未知不得填 0。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,NOT_DEPLOYED,NOT_STARTED
63,ADP-S5-P03-T063,S5,Multi-board Depth & Benefit Parity｜多板块深度与竞品收益对齐,S5-P03,研究集合、证据与反证,P1,S,接入 DOI/Crossref/OpenAlex 等研究元数据增强,完善论文身份、作者、机构、版本和引用图，同时保持原始论文为证据。,ADP-S5-P01-T059,metadata adapters、dedup rules、degraded fallback。,预印本/期刊不混淆；增强失败不阻塞原始论文。,完成前后必须报告对应 Stage 的用户价值指标。,报告新增请求、D1 行读写、R2 字节/操作、模型调用、人工维护量；未知不得填 0。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,NOT_DEPLOYED,NOT_STARTED
64,ADP-S5-P03-T064,S5,Multi-board Depth & Benefit Parity｜多板块深度与竞品收益对齐,S5-P03,研究集合、证据与反证,P1,S,实现 Research Set、筛选与结构化比较,对齐 Elicit/Consensus 的研究集合收益。,ADP-S5-P03-T063,collection model、method/sample/result fields、comparison table。,Golden Set 中字段可回到原文；缺失不猜；筛选可重复。,完成前后必须报告对应 Stage 的用户价值指标。,报告新增请求、D1 行读写、R2 字节/操作、模型调用、人工维护量；未知不得填 0。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,NOT_DEPLOYED,NOT_STARTED
65,ADP-S5-P03-T065,S5,Multi-board Depth & Benefit Parity｜多板块深度与竞品收益对齐,S5-P03,研究集合、证据与反证,P1,S,实现引用支持、反驳与关系证据,对齐 Scite/ResearchRabbit/Litmaps 的证据和关系收益。,ADP-S5-P03-T064,citation context、support/counter/mention labels、graph view API。,标签有可查看上下文；不由标题或模型印象直接分类。,完成前后必须报告对应 Stage 的用户价值指标。,报告新增请求、D1 行读写、R2 字节/操作、模型调用、人工维护量；未知不得填 0。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,NOT_DEPLOYED,NOT_STARTED
66,ADP-S5-P04-T066,S5,Multi-board Depth & Benefit Parity｜多板块深度与竞品收益对齐,S5-P04,Watchlist、资料与知识有效性,P1,S,实现 Watchlist 与 Change-only Digest,持续监测主题、机构、地区、实体和文号，只推送实质变化。,ADP-S5-P01-T057;ADP-S5-P02-T062,rules、dedup notifications、daily/weekly digest、source silence signal。,重跑不重复通知；无变化不打扰；每条变化可定位。,完成前后必须报告对应 Stage 的用户价值指标。,报告新增请求、D1 行读写、R2 字节/操作、模型调用、人工维护量；未知不得填 0。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,NOT_DEPLOYED,NOT_STARTED
67,ADP-S5-P04-T067,S5,Multi-board Depth & Benefit Parity｜多板块深度与竞品收益对齐,S5-P04,Watchlist、资料与知识有效性,P1,S,实现 Library、笔记和 Provenance 导出,让阅读和证据成为长期资产，而不是只存在 Today。,ADP-S5-P02-T062,save/note/collection、Markdown/CSV/JSON export。,导出包含原始 URL、版本、抓取时间、claim evidence 和许可提示。,完成前后必须报告对应 Stage 的用户价值指标。,报告新增请求、D1 行读写、R2 字节/操作、模型调用、人工维护量；未知不得填 0。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,NOT_DEPLOYED,NOT_STARTED
68,ADP-S5-P04-T068,S5,Multi-board Depth & Benefit Parity｜多板块深度与竞品收益对齐,S5-P04,Watchlist、资料与知识有效性,P1,M,实现 Knowledge Validity 与 131 项收益对齐回归,当事实变化时重开旧知识，并确认竞品用户收益均有明确状态。,ADP-S5-P03-T065;ADP-S5-P04-T066;ADP-S5-P04-T067,validity clock、review invalidation、parity regression report。,旧知识因源变化自动标失效/重学；131 项无‘未知/无人负责’状态。,完成前后必须报告对应 Stage 的用户价值指标。,报告新增请求、D1 行读写、R2 字节/操作、模型调用、人工维护量；未知不得填 0。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,NOT_DEPLOYED,NOT_STARTED
69,ADP-S6-P01-T069,S6,Prediction & Backtest｜预测、校准与失败历史,S6-P01,预测标签、快照和基线,P1,S,定义预测目标、Outcome Rule 与事件标签,先定义什么算发生，再训练任何模型。,ADP-S4-P05-T056;ADP-S5-P01-T059,target catalog、horizon、label SQL、settlement rules。,每个目标可由未来官方证据结算；模糊目标不得进入回测。,完成前后必须报告对应 Stage 的用户价值指标。,报告新增请求、D1 行读写、R2 字节/操作、模型调用、人工维护量；未知不得填 0。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,NOT_DEPLOYED,NOT_STARTED
70,ADP-S6-P01-T070,S6,Prediction & Backtest｜预测、校准与失败历史,S6-P01,预测标签、快照和基线,P1,S,建立 Dataset Snapshot 与 observed_at 泄漏防线,确保 2026 回填的旧文件不会假装在历史时点已知。,ADP-S6-P01-T069,snapshot IDs、observed_at filters、leakage tests。,注入未来文档会使测试失败；任何预测可重建其当时数据集。,完成前后必须报告对应 Stage 的用户价值指标。,报告新增请求、D1 行读写、R2 字节/操作、模型调用、人工维护量；未知不得填 0。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,NOT_DEPLOYED,NOT_STARTED
71,ADP-S6-P01-T071,S6,Prediction & Backtest｜预测、校准与失败历史,S6-P01,预测标签、快照和基线,P1,S,建立历史频率、季节性和简单统计基线,复杂模型必须先打败便宜可解释基线。,ADP-S6-P01-T070,baseline models、metrics、benchmark report。,每个目标至少有一个可重跑基线；无基线不得开发高级模型。,完成前后必须报告对应 Stage 的用户价值指标。,报告新增请求、D1 行读写、R2 字节/操作、模型调用、人工维护量；未知不得填 0。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,NOT_DEPLOYED,NOT_STARTED
72,ADP-S6-P02-T072,S6,Prediction & Backtest｜预测、校准与失败历史,S6-P02,滚动回测、校准与 Ledger,P1,M,实现 2016+ Rolling-origin Backtest,用真实时间顺序验证泛化和领先时间。,ADP-S6-P01-T071,split generator、run manifests、results。,至少三个滚动窗口；训练/验证时间不交叉；结果可重跑。,完成前后必须报告对应 Stage 的用户价值指标。,报告新增请求、D1 行读写、R2 字节/操作、模型调用、人工维护量；未知不得填 0。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,NOT_DEPLOYED,NOT_STARTED
73,ADP-S6-P02-T073,S6,Prediction & Backtest｜预测、校准与失败历史,S6-P02,滚动回测、校准与 Ledger,P1,S,实现校准、技能分数与 Forecast Ledger,长期保存成功和失败，不只展示漂亮案例。,ADP-S6-P02-T072,Brier/logloss/calibration/skill、ledger schema、reliability plots。,任何用户可见概率有历史校准；失败记录不可删除。,完成前后必须报告对应 Stage 的用户价值指标。,报告新增请求、D1 行读写、R2 字节/操作、模型调用、人工维护量；未知不得填 0。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,NOT_DEPLOYED,NOT_STARTED
74,ADP-S6-P03-T074,S6,Prediction & Backtest｜预测、校准与失败历史,S6-P03,窄目标预测 Shadow,P1,S,Shadow 来源静默预测,预测官方源异常静默或采集故障，并区分两者。,ADP-S6-P02-T073,model/baseline、alerts、outcomes。,优于简单发布周期基线；误报和人工价值可量化。,完成前后必须报告对应 Stage 的用户价值指标。,报告新增请求、D1 行读写、R2 字节/操作、模型调用、人工维护量；未知不得填 0。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,SHADOW,NOT_STARTED
75,ADP-S6-P03-T075,S6,Prediction & Backtest｜预测、校准与失败历史,S6-P03,窄目标预测 Shadow,P1,M,Shadow 主题加速与中央—地方扩散预测,利用 2016+ 事件链预测研究加速和 A0→A1→A2 扩散。,ADP-S6-P02-T073,two pilot targets、support/counter signals、lead-time report。,三个窗口优于基线；目标和 horizon 预定义；无确定语气。,完成前后必须报告对应 Stage 的用户价值指标。,报告新增请求、D1 行读写、R2 字节/操作、模型调用、人工维护量；未知不得填 0。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,SHADOW,NOT_STARTED
76,ADP-S6-P03-T076,S6,Prediction & Backtest｜预测、校准与失败历史,S6-P03,窄目标预测 Shadow,P1,S,完成完整 Horizon Shadow 与上线/停止决策,只有跨完整期限持续有技能的预测才能显示给用户。,ADP-S6-P03-T074;ADP-S6-P03-T075,shadow closeout、release decision、rollback/disable flag。,Brier skill 为正且稳定、校准可接受、用户领先价值明确；否则停止。,完成前后必须报告对应 Stage 的用户价值指标。,报告新增请求、D1 行读写、R2 字节/操作、模型调用、人工维护量；未知不得填 0。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,SHADOW,NOT_STARTED
77,ADP-S7-P01-T077,S7,"UI/UX, Motion & Performance｜保留高级感的细节和性能打磨",S7-P01,六主题与高级动效不可破坏基线,P1,S,冻结六主题视觉与关键动效录屏基线,把最新恢复的主题和氛围层作为不可删除合同。,ADP-S0-P02-T004,6 themes × routes × 5 viewports screenshots、interaction recordings、asset hashes。,Owner 确认基线；reduced-motion 单独记录。,完成前后必须报告对应 Stage 的用户价值指标。,报告新增请求、D1 行读写、R2 字节/操作、模型调用、人工维护量；未知不得填 0。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,NOT_DEPLOYED,NOT_STARTED
78,ADP-S7-P01-T078,S7,"UI/UX, Motion & Performance｜保留高级感的细节和性能打磨",S7-P01,六主题与高级动效不可破坏基线,P1,S,建立 Visual/Motion Regression CI,每个 UI PR 自动发现主题、动效和品牌语义损失。,ADP-S7-P01-T077,visual diff thresholds、recording checks、approved-change process。,删除任一主题/氛围层的模拟 PR 会被阻断；允许的像素差有说明。,完成前后必须报告对应 Stage 的用户价值指标。,报告新增请求、D1 行读写、R2 字节/操作、模型调用、人工维护量；未知不得填 0。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,NOT_DEPLOYED,NOT_STARTED
79,ADP-S7-P02-T079,S7,"UI/UX, Motion & Performance｜保留高级感的细节和性能打磨",S7-P02,移动端、组件状态与状态保持,P1,S,修复移动端溢出与数据密集布局,在 360/390/430 宽度下处理长 URL、文号、表格、关系和 diff。,ADP-S7-P01-T078,responsive fixes、test matrix、screenshots。,无全页横向滚动；局部表格横滚受控；现有高级视觉保持。,完成前后必须报告对应 Stage 的用户价值指标。,报告新增请求、D1 行读写、R2 字节/操作、模型调用、人工维护量；未知不得填 0。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,NOT_DEPLOYED,NOT_STARTED
80,ADP-S7-P02-T080,S7,"UI/UX, Motion & Performance｜保留高级感的细节和性能打磨",S7-P02,移动端、组件状态与状态保持,P1,S,补齐组件状态、Undo 与跨主题状态保持,让每个操作有即时反馈并避免切换主题丢失任务状态。,ADP-S7-P01-T078,state matrix、pressed/loading/error/success/disabled/undo、persistence tests。,点击 100ms 内反馈；切主题不丢阅读位置、答案、筛选和展开状态。,完成前后必须报告对应 Stage 的用户价值指标。,报告新增请求、D1 行读写、R2 字节/操作、模型调用、人工维护量；未知不得填 0。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,NOT_DEPLOYED,NOT_STARTED
81,ADP-S7-P03-T081,S7,"UI/UX, Motion & Performance｜保留高级感的细节和性能打磨",S7-P03,RUM、CWV、动效与数据性能,P1,S,接入按主题/路由/设备分段的 RUM 与 CWV,先知道哪里慢，再优化。,ADP-S7-P02-T079;ADP-S7-P02-T080,RUM events、dashboard、baseline p75。,LCP/INP/CLS 可按主题、路由、设备和网络查询；无数据不声称达标。,完成前后必须报告对应 Stage 的用户价值指标。,报告新增请求、D1 行读写、R2 字节/操作、模型调用、人工维护量；未知不得填 0。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,NOT_DEPLOYED,NOT_STARTED
82,ADP-S7-P03-T082,S7,"UI/UX, Motion & Performance｜保留高级感的细节和性能打磨",S7-P03,RUM、CWV、动效与数据性能,P1,S,优化环境动效而不改变视觉语义,暂停离屏/后台、懒加载、粒子自适应、合成器动画和长任务。,ADP-S7-P03-T081,before/after traces、FPS、visual recordings。,中位 >=55 FPS；低端设备自动降级环境层但前景反馈不消失。,完成前后必须报告对应 Stage 的用户价值指标。,报告新增请求、D1 行读写、R2 字节/操作、模型调用、人工维护量；未知不得填 0。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,NOT_DEPLOYED,NOT_STARTED
83,ADP-S7-P03-T083,S7,"UI/UX, Motion & Performance｜保留高级感的细节和性能打磨",S7-P03,RUM、CWV、动效与数据性能,P1,M,优化 Bundle、D1 查询、流式布局和长列表,降低首屏、交互、搜索和历史视图等待。,ADP-S7-P03-T081,bundle diff、query plans/indexes、virtualization、skeleton stability。,CWV 达标；D1 rows scanned 和 p95 查询下降；无布局跳动回归。,完成前后必须报告对应 Stage 的用户价值指标。,报告新增请求、D1 行读写、R2 字节/操作、模型调用、人工维护量；未知不得填 0。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,NOT_DEPLOYED,NOT_STARTED
84,ADP-S7-P04-T084,S7,"UI/UX, Motion & Performance｜保留高级感的细节和性能打磨",S7-P04,证据、历史和数据密集视图精修,P1,M,精修证据、内容层级、Diff、可访问性与 Reduced Motion,在不替换设计的前提下，让专业信息更清楚、更可操作。,ADP-S7-P02-T080;ADP-S7-P03-T082;ADP-S7-P03-T083,component polish、focus/keyboard/semantics、content hierarchy report。,关键任务键盘/触屏完成；证据/推断区分清晰；reduced-motion 不丢功能。,完成前后必须报告对应 Stage 的用户价值指标。,报告新增请求、D1 行读写、R2 字节/操作、模型调用、人工维护量；未知不得填 0。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,NOT_DEPLOYED,NOT_STARTED
85,ADP-S8-P01-T085,S8,"Release, Soak & Final Handoff｜发布、浸泡与最终验收",S8-P01,集成、迁移、回滚和恢复演练,P1,L,执行全链路迁移与数据一致性彩排,在隔离环境重放从 source registry 到发布/历史/预测的全链路。,ADP-S1-P03-T020;ADP-S2-P03-T029;ADP-S3-P03-T040;ADP-S4-P05-T056;ADP-S5-P04-T068;ADP-S6-P03-T076;ADP-S7-P04-T084,rehearsal manifest、row/hash counts、diff report。,关键计数/关系一致；无未解释数据丢失；不碰生产。,完成前后必须报告对应 Stage 的用户价值指标。,报告新增请求、D1 行读写、R2 字节/操作、模型调用、人工维护量；未知不得填 0。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,NOT_DEPLOYED,NOT_STARTED
86,ADP-S8-P01-T086,S8,"Release, Soak & Final Handoff｜发布、浸泡与最终验收",S8-P01,集成、迁移、回滚和恢复演练,P1,M,执行生产回滚与灾难恢复演练,证明 Worker、D1、R2、Registry、内容 bundle 和预测均可回到已知点。,ADP-S8-P01-T085,rollback drill、restore drill、RTO/RPO actuals、evidence hashes。,隔离演练完成且结果一致；任何不可恢复项成为 release blocker。,完成前后必须报告对应 Stage 的用户价值指标。,报告新增请求、D1 行读写、R2 字节/操作、模型调用、人工维护量；未知不得填 0。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,NOT_DEPLOYED,NOT_STARTED
87,ADP-S8-P01-T087,S8,"Release, Soak & Final Handoff｜发布、浸泡与最终验收",S8-P01,集成、迁移、回滚和恢复演练,P1,S,召开最终 Value-Cost Gate,使用实际数据决定哪些来源、功能、模型和历史规模值得持续。,ADP-S8-P01-T085;ADP-S8-P01-T086,scorecard、keep/scale/hold/stop decisions、budget guardrails。,所有 recurring cost 有价值指标；没有证据的组件保持关闭；Owner 签署。,完成前后必须报告对应 Stage 的用户价值指标。,报告新增请求、D1 行读写、R2 字节/操作、模型调用、人工维护量；未知不得填 0。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,NOT_DEPLOYED,NOT_STARTED
88,ADP-S8-P02-T088,S8,"Release, Soak & Final Handoff｜发布、浸泡与最终验收",S8-P02,Canary、浸泡与停线演练,P1,M,执行 Feature-flagged Canary,逐项打开新路径而不是大爆炸切换。,ADP-S8-P01-T087,canary plan、cohorts、kill switches、monitoring。,每个 flag 可独立回滚；错误预算触发自动停止。,完成前后必须报告对应 Stage 的用户价值指标。,报告新增请求、D1 行读写、R2 字节/操作、模型调用、人工维护量；未知不得填 0。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,CANARY,NOT_STARTED
89,ADP-S8-P02-T089,S8,"Release, Soak & Final Handoff｜发布、浸泡与最终验收",S8-P02,Canary、浸泡与停线演练,P1,L,完成 14 次连续日运行浸泡与停线演练,验证长期稳定、来源静默、回填压力、模型降级和恢复。,ADP-S8-P02-T088,daily manifests、incident drills、SLA/quality/cost trends。,14 次真实日运行无 Sev-1/2；所有 stop-the-line trigger 至少演练一次。,完成前后必须报告对应 Stage 的用户价值指标。,报告新增请求、D1 行读写、R2 字节/操作、模型调用、人工维护量；未知不得填 0。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,PRODUCTION,NOT_STARTED
90,ADP-S8-P03-T090,S8,"Release, Soak & Final Handoff｜发布、浸泡与最终验收",S8-P03,最终追溯、验收和交接,P1,M,关闭 100% 追溯并交付最终运行包,把需求、任务、测试、证据、commit、build、成本、Known Gaps 和下一版边界闭环。,ADP-S8-P02-T089,final manifest、acceptance report、operations runbook、known gaps、next version backlog。,90/90 任务有终态；所有 P0 requirement 有 PASS 证据或明确 Owner waiver；ZIP/hash 可复验。,完成前后必须报告对应 Stage 的用户价值指标。,报告新增请求、D1 行读写、R2 字节/操作、模型调用、人工维护量；未知不得填 0。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,PRODUCTION,NOT_STARTED
