task_id,stage,phase,title,depends_on,requirement,acceptance,low_h,likely_h,high_h,pass_gate
T-S12-P02-02,S12,P02,验证｜机会容量与相关校正,T-S12-P02-01,REQ-S12-P02,AC-S12-P02,1.0,1.5,2.0,不把高度相关机会重复计入30%覆盖。
T-S12-P02-03,S12,P02,证据与通过门｜机会容量与相关校正,T-S12-P02-02,REQ-S12-P02,AC-S12-P02,1.0,1.0,2.0,不把高度相关机会重复计入30%覆盖。
T-S12-P03-01,S12,P03,实现｜收益成本敏感性,T-S12-P02-03,REQ-S12-P03,AC-S12-P03,1.0,1.5,2.0,所有收益带区间、置信度和失败概率，不输出保证。
T-S12-P03-02,S12,P03,验证｜收益成本敏感性,T-S12-P03-01,REQ-S12-P03,AC-S12-P03,1.0,1.5,2.0,所有收益带区间、置信度和失败概率，不输出保证。
T-S12-P03-03,S12,P03,证据与通过门｜收益成本敏感性,T-S12-P03-02,REQ-S12-P03,AC-S12-P03,1.0,1.0,2.0,所有收益带区间、置信度和失败概率，不输出保证。
T-S12-P04-01,S12,P04,实现｜证伪与验证门,T-S12-P03-03,REQ-S12-P04,AC-S12-P04,1.0,1.5,2.0,目标短缺只报告，不降低阈值、仓位或证据门。
T-S12-P04-02,S12,P04,验证｜证伪与验证门,T-S12-P04-01,REQ-S12-P04,AC-S12-P04,1.0,1.5,2.0,目标短缺只报告，不降低阈值、仓位或证据门。
T-S12-P04-03,S12,P04,证据与通过门｜证伪与验证门,T-S12-P04-02,REQ-S12-P04,AC-S12-P04,1.0,1.0,2.0,目标短缺只报告，不降低阈值、仓位或证据门。
T-S13-P01-01,S13,P01,实现｜中文工作台与推送,T-S03-P04-03;T-S11-P04-03;T-S12-P04-03,REQ-S13-P01,AC-S13-P01,1.0,1.5,2.0,手机/电脑任意地点可访问，界面中文。
T-S13-P01-02,S13,P01,验证｜中文工作台与推送,T-S13-P01-01,REQ-S13-P01,AC-S13-P01,1.0,1.5,2.0,手机/电脑任意地点可访问，界面中文。
T-S13-P01-03,S13,P01,证据与通过门｜中文工作台与推送,T-S13-P01-02,REQ-S13-P01,AC-S13-P01,1.0,1.0,2.0,手机/电脑任意地点可访问，界面中文。
T-S13-P02-01,S13,P02,实现｜打开平台与即时校验,T-S13-P01-03,REQ-S13-P02,AC-S13-P02,1.0,1.5,2.0,低于最低赔率、身份不符或过期立即红色撤销。
T-S13-P02-02,S13,P02,验证｜打开平台与即时校验,T-S13-P02-01,REQ-S13-P02,AC-S13-P02,1.0,1.5,2.0,低于最低赔率、身份不符或过期立即红色撤销。
T-S13-P02-03,S13,P02,证据与通过门｜打开平台与即时校验,T-S13-P02-02,REQ-S13-P02,AC-S13-P02,1.0,1.0,2.0,低于最低赔率、身份不符或过期立即红色撤销。
T-S13-P03-01,S13,P03,实现｜建议后证据与结算,T-S13-P02-03,REQ-S13-P03,AC-S13-P03,1.0,1.5,2.0,没有确认时不伪造真实收益。
T-S13-P03-02,S13,P03,验证｜建议后证据与结算,T-S13-P03-01,REQ-S13-P03,AC-S13-P03,1.0,1.5,2.0,没有确认时不伪造真实收益。
T-S13-P03-03,S13,P03,证据与通过门｜建议后证据与结算,T-S13-P03-02,REQ-S13-P03,AC-S13-P03,1.0,1.0,2.0,没有确认时不伪造真实收益。
T-S13-P04-01,S13,P04,实现｜六类完整路径,T-S13-P03-03,REQ-S13-P04,AC-S13-P04,1.0,1.5,2.0,每类路径有输入、状态、输出、证据和恢复。
T-S13-P04-02,S13,P04,验证｜六类完整路径,T-S13-P04-01,REQ-S13-P04,AC-S13-P04,1.0,1.5,2.0,每类路径有输入、状态、输出、证据和恢复。
T-S13-P04-03,S13,P04,证据与通过门｜六类完整路径,T-S13-P04-02,REQ-S13-P04,AC-S13-P04,1.0,1.0,2.0,每类路径有输入、状态、输出、证据和恢复。
T-S14-P01-01,S14,P01,实现｜威胁模型与信任边界,T-S04-P04-03;T-S06-P04-03;T-S07-P04-03,REQ-S14-P01,AC-S14-P01,1.0,1.5,2.0,高风险威胁均有预防、检测、响应和恢复控制。
T-S14-P01-02,S14,P01,验证｜威胁模型与信任边界,T-S14-P01-01,REQ-S14-P01,AC-S14-P01,1.0,1.5,2.0,高风险威胁均有预防、检测、响应和恢复控制。
T-S14-P01-03,S14,P01,证据与通过门｜威胁模型与信任边界,T-S14-P01-02,REQ-S14-P01,AC-S14-P01,1.0,1.0,2.0,高风险威胁均有预防、检测、响应和恢复控制。
T-S14-P02-01,S14,P02,实现｜安全编码与自动分析,T-S14-P01-03,REQ-S14-P02,AC-S14-P02,1.0,1.5,2.0,未处置严重/高危为0。
T-S14-P02-02,S14,P02,验证｜安全编码与自动分析,T-S14-P02-01,REQ-S14-P02,AC-S14-P02,1.0,1.5,2.0,未处置严重/高危为0。
T-S14-P02-03,S14,P02,证据与通过门｜安全编码与自动分析,T-S14-P02-02,REQ-S14-P02,AC-S14-P02,1.0,1.0,2.0,未处置严重/高危为0。
T-S14-P03-01,S14,P03,实现｜组件与补丁生命周期,T-S14-P02-03,REQ-S14-P03,AC-S14-P03,1.0,1.5,2.0,每个生产组件有来源、版本、许可证和负责人。
T-S14-P03-02,S14,P03,验证｜组件与补丁生命周期,T-S14-P03-01,REQ-S14-P03,AC-S14-P03,1.0,1.5,2.0,每个生产组件有来源、版本、许可证和负责人。
T-S14-P03-03,S14,P03,证据与通过门｜组件与补丁生命周期,T-S14-P03-02,REQ-S14-P03,AC-S14-P03,1.0,1.0,2.0,每个生产组件有来源、版本、许可证和负责人。
T-S14-P04-01,S14,P04,实现｜制品来源与安全回滚,T-S14-P03-03,REQ-S14-P04,AC-S14-P04,1.0,1.5,2.0,发布制品可追溯到源代码、依赖和构建环境。
T-S14-P04-02,S14,P04,验证｜制品来源与安全回滚,T-S14-P04-01,REQ-S14-P04,AC-S14-P04,1.0,1.5,2.0,发布制品可追溯到源代码、依赖和构建环境。
T-S14-P04-03,S14,P04,证据与通过门｜制品来源与安全回滚,T-S14-P04-02,REQ-S14-P04,AC-S14-P04,1.0,1.0,2.0,发布制品可追溯到源代码、依赖和构建环境。
T-S15-P01-01,S15,P01,实现｜单元、属性与Schema测试,T-S05-P04-03;T-S07-P04-03;T-S13-P04-03;T-S14-P04-03,REQ-S15-P01,AC-S15-P01,1.0,1.5,2.0,关键模块分支覆盖≥95%，资金/阈值属性测试100%通过。
T-S15-P01-02,S15,P01,验证｜单元、属性与Schema测试,T-S15-P01-01,REQ-S15-P01,AC-S15-P01,1.0,1.5,2.0,关键模块分支覆盖≥95%，资金/阈值属性测试100%通过。
T-S15-P01-03,S15,P01,证据与通过门｜单元、属性与Schema测试,T-S15-P01-02,REQ-S15-P01,AC-S15-P01,1.0,1.0,2.0,关键模块分支覆盖≥95%，资金/阈值属性测试100%通过。
T-S15-P02-01,S15,P02,实现｜来源合同与集成测试,T-S15-P01-03,REQ-S15-P02,AC-S15-P02,1.0,1.5,2.0,真实网络故障不影响测试确定性。
T-S15-P02-02,S15,P02,验证｜来源合同与集成测试,T-S15-P02-01,REQ-S15-P02,AC-S15-P02,1.0,1.5,2.0,真实网络故障不影响测试确定性。
T-S15-P02-03,S15,P02,证据与通过门｜来源合同与集成测试,T-S15-P02-02,REQ-S15-P02,AC-S15-P02,1.0,1.0,2.0,真实网络故障不影响测试确定性。
T-S15-P03-01,S15,P03,实现｜多端多环境端到端,T-S15-P02-03,REQ-S15-P03,AC-S15-P03,1.0,1.5,2.0,Golden/Black/Degraded/Recovery全通过。
T-S15-P03-02,S15,P03,验证｜多端多环境端到端,T-S15-P03-01,REQ-S15-P03,AC-S15-P03,1.0,1.5,2.0,Golden/Black/Degraded/Recovery全通过。
T-S15-P03-03,S15,P03,证据与通过门｜多端多环境端到端,T-S15-P03-02,REQ-S15-P03,AC-S15-P03,1.0,1.0,2.0,Golden/Black/Degraded/Recovery全通过。
T-S15-P04-01,S15,P04,实现｜需求追踪与通过门,T-S15-P03-03,REQ-S15-P04,AC-S15-P04,1.0,1.5,2.0,无孤儿、无循环、无未通过关键验收。
T-S15-P04-02,S15,P04,验证｜需求追踪与通过门,T-S15-P04-01,REQ-S15-P04,AC-S15-P04,1.0,1.5,2.0,无孤儿、无循环、无未通过关键验收。
T-S15-P04-03,S15,P04,证据与通过门｜需求追踪与通过门,T-S15-P04-02,REQ-S15-P04,AC-S15-P04,1.0,1.0,2.0,无孤儿、无循环、无未通过关键验收。
T-S16-P01-01,S16,P01,实现｜市场基线与挑战模型,T-S08-P04-03;T-S09-P04-03;T-S10-P04-03;T-S11-P04-03,REQ-S16-P01,AC-S16-P01,1.0,1.5,2.0,模型没有显著增量时权重归零。
T-S16-P01-02,S16,P01,验证｜市场基线与挑战模型,T-S16-P01-01,REQ-S16-P01,AC-S16-P01,1.0,1.5,2.0,模型没有显著增量时权重归零。
T-S16-P01-03,S16,P01,证据与通过门｜市场基线与挑战模型,T-S16-P01-02,REQ-S16-P01,AC-S16-P01,1.0,1.0,2.0,模型没有显著增量时权重归零。
T-S16-P02-01,S16,P02,实现｜能力、校准与收益评测,T-S16-P01-03,REQ-S16-P02,AC-S16-P02,1.0,1.5,2.0,所有95%置信下界门通过才晋级。
T-S16-P02-02,S16,P02,验证｜能力、校准与收益评测,T-S16-P02-01,REQ-S16-P02,AC-S16-P02,1.0,1.5,2.0,所有95%置信下界门通过才晋级。
T-S16-P02-03,S16,P02,证据与通过门｜能力、校准与收益评测,T-S16-P02-02,REQ-S16-P02,AC-S16-P02,1.0,1.0,2.0,所有95%置信下界门通过才晋级。
T-S16-P03-01,S16,P03,实现｜红队与不同模型互审,T-S16-P02-03,REQ-S16-P03,AC-S16-P03,1.0,1.5,2.0,任何可绕过门的攻击为阻断缺陷。
T-S16-P03-02,S16,P03,验证｜红队与不同模型互审,T-S16-P03-01,REQ-S16-P03,AC-S16-P03,1.0,1.5,2.0,任何可绕过门的攻击为阻断缺陷。
T-S16-P03-03,S16,P03,证据与通过门｜红队与不同模型互审,T-S16-P03-02,REQ-S16-P03,AC-S16-P03,1.0,1.0,2.0,任何可绕过门的攻击为阻断缺陷。
T-S16-P04-01,S16,P04,实现｜模型系统说明卡与阶段门,T-S16-P03-03,REQ-S16-P04,AC-S16-P04,1.0,1.5,2.0,软件通过不能替代模型通过，两条门独立。
T-S16-P04-02,S16,P04,验证｜模型系统说明卡与阶段门,T-S16-P04-01,REQ-S16-P04,AC-S16-P04,1.0,1.5,2.0,软件通过不能替代模型通过，两条门独立。
T-S16-P04-03,S16,P04,证据与通过门｜模型系统说明卡与阶段门,T-S16-P04-02,REQ-S16-P04,AC-S16-P04,1.0,1.0,2.0,软件通过不能替代模型通过，两条门独立。
T-S17-P01-01,S17,P01,实现｜全历史与10倍负载,T-S15-P04-03;T-S16-P04-03,REQ-S17-P01,AC-S17-P01,1.0,1.5,2.0,VPS-1资源门内且无静默丢数据。
T-S17-P01-02,S17,P01,验证｜全历史与10倍负载,T-S17-P01-01,REQ-S17-P01,AC-S17-P01,1.0,1.5,2.0,VPS-1资源门内且无静默丢数据。
T-S17-P01-03,S17,P01,证据与通过门｜全历史与10倍负载,T-S17-P01-02,REQ-S17-P01,AC-S17-P01,1.0,1.0,2.0,VPS-1资源门内且无静默丢数据。
T-S17-P02-01,S17,P02,实现｜并发、重试与幂等极限,T-S17-P01-03,REQ-S17-P02,AC-S17-P02,1.0,1.5,2.0,重复建议/账本事件为0。
T-S17-P02-02,S17,P02,验证｜并发、重试与幂等极限,T-S17-P02-01,REQ-S17-P02,AC-S17-P02,1.0,1.5,2.0,重复建议/账本事件为0。
T-S17-P02-03,S17,P02,证据与通过门｜并发、重试与幂等极限,T-S17-P02-02,REQ-S17-P02,AC-S17-P02,1.0,1.0,2.0,重复建议/账本事件为0。
T-S17-P03-01,S17,P03,实现｜故障注入,T-S17-P02-03,REQ-S17-P03,AC-S17-P03,1.0,1.5,2.0,错误时不使用陈旧数据且自动降级。
T-S17-P03-02,S17,P03,验证｜故障注入,T-S17-P03-01,REQ-S17-P03,AC-S17-P03,1.0,1.5,2.0,错误时不使用陈旧数据且自动降级。
T-S17-P03-03,S17,P03,证据与通过门｜故障注入,T-S17-P03-02,REQ-S17-P03,AC-S17-P03,1.0,1.0,2.0,错误时不使用陈旧数据且自动降级。
T-S17-P04-01,S17,P04,实现｜恢复与常态演练,T-S17-P03-03,REQ-S17-P04,AC-S17-P04,1.0,1.5,2.0,账本恢复点≤60秒，建议服务恢复≤15分钟。
T-S17-P04-02,S17,P04,验证｜恢复与常态演练,T-S17-P04-01,REQ-S17-P04,AC-S17-P04,1.0,1.5,2.0,账本恢复点≤60秒，建议服务恢复≤15分钟。
T-S17-P04-03,S17,P04,证据与通过门｜恢复与常态演练,T-S17-P04-02,REQ-S17-P04,AC-S17-P04,1.0,1.0,2.0,账本恢复点≤60秒，建议服务恢复≤15分钟。
T-S18-P01-01,S18,P01,实现｜双环境与小流量试运行,T-S04-P04-03;T-S14-P04-03;T-S17-P04-03,REQ-S18-P01,AC-S18-P01,1.0,1.5,2.0,新版本探针失败自动回旧版。
T-S18-P01-02,S18,P01,验证｜双环境与小流量试运行,T-S18-P01-01,REQ-S18-P01,AC-S18-P01,1.0,1.5,2.0,新版本探针失败自动回旧版。
T-S18-P01-03,S18,P01,证据与通过门｜双环境与小流量试运行,T-S18-P01-02,REQ-S18-P01,AC-S18-P01,1.0,1.0,2.0,新版本探针失败自动回旧版。
T-S18-P02-01,S18,P02,实现｜可观测、诊断与告警,T-S18-P01-03,REQ-S18-P02,AC-S18-P02,1.0,1.5,2.0,每个高优先级告警有唯一自动或人工动作。
T-S18-P02-02,S18,P02,验证｜可观测、诊断与告警,T-S18-P02-01,REQ-S18-P02,AC-S18-P02,1.0,1.5,2.0,每个高优先级告警有唯一自动或人工动作。
T-S18-P02-03,S18,P02,证据与通过门｜可观测、诊断与告警,T-S18-P02-02,REQ-S18-P02,AC-S18-P02,1.0,1.0,2.0,每个高优先级告警有唯一自动或人工动作。
T-S18-P03-01,S18,P03,实现｜有限自愈,T-S18-P02-03,REQ-S18-P03,AC-S18-P03,1.0,1.5,2.0,自愈不能修改资金事实或放宽风险门。
T-S18-P03-02,S18,P03,验证｜有限自愈,T-S18-P03-01,REQ-S18-P03,AC-S18-P03,1.0,1.5,2.0,自愈不能修改资金事实或放宽风险门。
T-S18-P03-03,S18,P03,证据与通过门｜有限自愈,T-S18-P03-02,REQ-S18-P03,AC-S18-P03,1.0,1.0,2.0,自愈不能修改资金事实或放宽风险门。
T-S18-P04-01,S18,P04,实现｜运行手册与值守自动化,T-S18-P03-03,REQ-S18-P04,AC-S18-P04,1.0,1.5,2.0,正常运行无需用户维护；异常仅按暂停合同升级。
T-S18-P04-02,S18,P04,验证｜运行手册与值守自动化,T-S18-P04-01,REQ-S18-P04,AC-S18-P04,1.0,1.5,2.0,正常运行无需用户维护；异常仅按暂停合同升级。
T-S18-P04-03,S18,P04,证据与通过门｜运行手册与值守自动化,T-S18-P04-02,REQ-S18-P04,AC-S18-P04,1.0,1.0,2.0,正常运行无需用户维护；异常仅按暂停合同升级。
T-S19-P01-01,S19,P01,实现｜Walking Skeleton 与软件Alpha,T-S12-P04-03;T-S13-P04-03;T-S17-P04-03;T-S18-P04-03,REQ-S19-P01,AC-S19-P01,1.0,1.5,2.0,不使用真实资金即可确定性闭环。
T-S19-P01-02,S19,P01,验证｜Walking Skeleton 与软件Alpha,T-S19-P01-01,REQ-S19-P01,AC-S19-P01,1.0,1.5,2.0,不使用真实资金即可确定性闭环。
T-S19-P01-03,S19,P01,证据与通过门｜Walking Skeleton 与软件Alpha,T-S19-P01-02,REQ-S19-P01,AC-S19-P01,1.0,1.0,2.0,不使用真实资金即可确定性闭环。
T-S19-P02-01,S19,P02,实现｜影子运行与模型Beta,T-S19-P01-03,REQ-S19-P02,AC-S19-P02,1.0,1.5,2.0,校准、净增长、时效、容量和漂移门通过。
T-S19-P02-02,S19,P02,验证｜影子运行与模型Beta,T-S19-P02-01,REQ-S19-P02,AC-S19-P02,1.0,1.5,2.0,校准、净增长、时效、容量和漂移门通过。
T-S19-P02-03,S19,P02,证据与通过门｜影子运行与模型Beta,T-S19-P02-02,REQ-S19-P02,AC-S19-P02,1.0,1.0,2.0,校准、净增长、时效、容量和漂移门通过。
T-S19-P03-01,S19,P03,实现｜正式可用与小额建议,T-S19-P02-03,REQ-S19-P03,AC-S19-P03,1.0,1.5,2.0,证据完整、对账差异0、终止条件未触发。
T-S19-P03-02,S19,P03,验证｜正式可用与小额建议,T-S19-P03-01,REQ-S19-P03,AC-S19-P03,1.0,1.5,2.0,证据完整、对账差异0、终止条件未触发。
T-S19-P03-03,S19,P03,证据与通过门｜正式可用与小额建议,T-S19-P03-02,REQ-S19-P03,AC-S19-P03,1.0,1.0,2.0,证据完整、对账差异0、终止条件未触发。
T-S19-P04-01,S19,P04,实现｜最终验收与长期验证,T-S19-P03-03,REQ-S19-P04,AC-S19-P04,1.0,1.5,2.0,所有验收通过，版本和哈希无歧义无冲突。
T-S19-P04-02,S19,P04,验证｜最终验收与长期验证,T-S19-P04-01,REQ-S19-P04,AC-S19-P04,1.0,1.5,2.0,所有验收通过，版本和哈希无歧义无冲突。
T-S19-P04-03,S19,P04,证据与通过门｜最终验收与长期验证,T-S19-P04-02,REQ-S19-P04,AC-S19-P04,1.0,1.0,2.0,所有验收通过，版本和哈希无歧义无冲突。
