parameter_id,model_id,formula_id,symbol,name,category,data_type,unit,default_value,initial_or_prior_value,active_value,weight,weight_group,weight_group_target,weight_group_tolerance,min_value,max_value,formula_or_transform,source_or_rationale,calibration_method,sensitivity,code_ref,config_ref,test_ref,status,fact_level,unknown_task_ids,parameter_version,last_updated,source_selector,extracted_value,last_verified_commit,verified_at,evidence_hash,semantic_status,semantic_review_task_ids
PARAM-001,MOD-001,FORM-001,base_weight_0.92,Strategy base weight 0.92,strategy_weight,float,portfolio_weight,0.92,0.92,0.92,NOT_APPLICABLE,,,,0,1,See formula_registry.yaml,EXTRACTED from implementation default,UNKNOWN calibration/source evidence; see TASK-PFI-B-001,medium,PFI/大数据模拟器/qbvs/strategies.py:31,NOT_APPLICABLE,PFI/大数据模拟器/tests/test_core.py:61,active,EXTRACTED,TASK-PFI-B-001,param-profile-20260620,2026-06-20,python_ast_literal:PFI/大数据模拟器/qbvs/strategies.py:32:1,0.92,94478ef52caecb9d856bf4a0543719f8d50a9645,2026-06-21T12:19:34Z,sha256:1e80459087673a18e9c5583a6f1b6391958a288f428e9007290fe3d17d180c24,MACHINE_VERIFIED,
PARAM-034,MOD-001,FORM-001,drawdown_trigger,Drawdown risk trigger,strategy_rule,float,ratio_or_days,-0.15,-0.15,-0.15,NOT_APPLICABLE,,,,-1,0,See formula_registry.yaml,EXTRACTED from implementation default,UNKNOWN calibration/source evidence; see TASK-PFI-B-001,medium,PFI/大数据模拟器/qbvs/strategies.py:182,NOT_APPLICABLE,PFI/大数据模拟器/tests/test_core.py:61,active,EXTRACTED,TASK-PFI-B-001,param-profile-20260620,2026-06-20,text_regex:PFI/大数据模拟器/qbvs/strategies.py::close / peak - 1\.0 < (-?[0-9.]+),-0.15,94478ef52caecb9d856bf4a0543719f8d50a9645,2026-06-21T12:19:34Z,sha256:4bf10ac1947956c99ab209bd869e131023e44259dacc3e672b5beed17f838122,MACHINE_VERIFIED,
PARAM-035,MOD-001,FORM-001,atr_quantile,ATR high-vol quantile,strategy_rule,float,ratio_or_days,0.85,0.85,0.85,NOT_APPLICABLE,,,,0,1,See formula_registry.yaml,EXTRACTED from implementation default,UNKNOWN calibration/source evidence; see TASK-PFI-B-001,medium,PFI/大数据模拟器/qbvs/strategies.py:175,NOT_APPLICABLE,PFI/大数据模拟器/tests/test_core.py:61,active,EXTRACTED,TASK-PFI-B-001,param-profile-20260620,2026-06-20,python_ast_literal:PFI/大数据模拟器/qbvs/strategies.py:178:1,0.85,94478ef52caecb9d856bf4a0543719f8d50a9645,2026-06-21T12:19:34Z,sha256:0b0e18832420cba551aee733c59d4f6d0f069fe7c9e0b9dd2ea06a614a306d13,MACHINE_VERIFIED,
PARAM-036,MOD-001,FORM-001,atr_quantile_window,ATR quantile rolling window,strategy_rule,integer,ratio_or_days,120,120,120,NOT_APPLICABLE,,,,1,NOT_APPLICABLE,See formula_registry.yaml,EXTRACTED from implementation default,UNKNOWN calibration/source evidence; see TASK-PFI-B-001,medium,PFI/大数据模拟器/qbvs/strategies.py:175,NOT_APPLICABLE,PFI/大数据模拟器/tests/test_core.py:61,active,EXTRACTED,TASK-PFI-B-001,param-profile-20260620,2026-06-20,python_ast_literal:PFI/大数据模拟器/qbvs/strategies.py:178:2,120,94478ef52caecb9d856bf4a0543719f8d50a9645,2026-06-21T12:19:34Z,sha256:3b093e5bf3996ffb0e62da9128a1fdeaf9e2e993ff2977dc732e510a0c53d434,MACHINE_VERIFIED,
PARAM-037,MOD-002,FORM-002,sma_min_periods_divisor,SMA min_periods divisor,indicator_default,integer,bars_or_score,2,2,2,NOT_APPLICABLE,,,,0,NOT_APPLICABLE,See formula_registry.yaml,EXTRACTED from implementation default,UNKNOWN calibration/source evidence; see TASK-PFI-B-001,medium,PFI/大数据模拟器/qbvs/indicators.py:7,NOT_APPLICABLE,PFI/大数据模拟器/tests/test_core.py:65,active,EXTRACTED,TASK-PFI-B-001,param-profile-20260620,2026-06-20,python_ast_literal:PFI/大数据模拟器/qbvs/indicators.py:7:2,2,94478ef52caecb9d856bf4a0543719f8d50a9645,2026-06-21T12:19:34Z,sha256:d066402b3fba79382fd08ecb556f88a5ac4b4f9472f3d93465586876fac46399,MACHINE_VERIFIED,
PARAM-038,MOD-002,FORM-002,rsi_window,RSI default window,indicator_default,integer,bars_or_score,14,14,14,NOT_APPLICABLE,,,,0,NOT_APPLICABLE,See formula_registry.yaml,EXTRACTED from implementation default,UNKNOWN calibration/source evidence; see TASK-PFI-B-001,medium,PFI/大数据模拟器/qbvs/indicators.py:10,NOT_APPLICABLE,PFI/大数据模拟器/tests/test_core.py:65,active,EXTRACTED,TASK-PFI-B-001,param-profile-20260620,2026-06-20,python_ast_default:PFI/大数据模拟器/qbvs/indicators.py::rsi.window,14,94478ef52caecb9d856bf4a0543719f8d50a9645,2026-06-21T12:19:34Z,sha256:bcfcd60af028d030e111d1fecb6245584e0685b67d7e794521ba85148f87c462,MACHINE_VERIFIED,
PARAM-039,MOD-002,FORM-002,rsi_neutral_fill,RSI neutral fill,indicator_default,integer,bars_or_score,50,50,50,NOT_APPLICABLE,,,,0,NOT_APPLICABLE,See formula_registry.yaml,EXTRACTED from implementation default,UNKNOWN calibration/source evidence; see TASK-PFI-B-001,medium,PFI/大数据模拟器/qbvs/indicators.py:16,NOT_APPLICABLE,PFI/大数据模拟器/tests/test_core.py:65,active,EXTRACTED,TASK-PFI-B-001,param-profile-20260620,2026-06-20,python_ast_literal:PFI/大数据模拟器/qbvs/indicators.py:17:1,50,94478ef52caecb9d856bf4a0543719f8d50a9645,2026-06-21T12:19:34Z,sha256:76fa03b6f73a4e6d2cd9b7b307f5baa655cf8ae8a896fa041ea42fcd02e4461c,MACHINE_VERIFIED,
PARAM-040,MOD-002,FORM-002,bollinger_window,Bollinger default window,indicator_default,integer,bars_or_score,20,20,20,NOT_APPLICABLE,,,,0,NOT_APPLICABLE,See formula_registry.yaml,EXTRACTED from implementation default,UNKNOWN calibration/source evidence; see TASK-PFI-B-001,medium,PFI/大数据模拟器/qbvs/indicators.py:18,NOT_APPLICABLE,PFI/大数据模拟器/tests/test_core.py:65,active,EXTRACTED,TASK-PFI-B-001,param-profile-20260620,2026-06-20,python_ast_default:PFI/大数据模拟器/qbvs/indicators.py::bollinger.window,20,94478ef52caecb9d856bf4a0543719f8d50a9645,2026-06-21T12:19:34Z,sha256:b7914e03cf9b34b98f3d27f42c61addb9a21b401b0bd40a73b383be12200fafe,MACHINE_VERIFIED,
PARAM-041,MOD-002,FORM-002,bollinger_num_std_default,Bollinger default num_std,indicator_default,float,bars_or_score,2.0,2.0,2.0,NOT_APPLICABLE,,,,0,NOT_APPLICABLE,See formula_registry.yaml,EXTRACTED from implementation default,UNKNOWN calibration/source evidence; see TASK-PFI-B-001,medium,PFI/大数据模拟器/qbvs/indicators.py:18,NOT_APPLICABLE,PFI/大数据模拟器/tests/test_core.py:65,active,EXTRACTED,TASK-PFI-B-001,param-profile-20260620,2026-06-20,python_ast_default:PFI/大数据模拟器/qbvs/indicators.py::bollinger.num_std,2,94478ef52caecb9d856bf4a0543719f8d50a9645,2026-06-21T12:19:34Z,sha256:66ad954f677dab733ef75d63814ae861edaf3ef7bee383b19e79cbc5085e6747,MACHINE_VERIFIED,
PARAM-042,MOD-002,FORM-002,macd_fast,MACD fast EMA span,indicator_default,integer,bars_or_score,12,12,12,NOT_APPLICABLE,,,,0,NOT_APPLICABLE,See formula_registry.yaml,EXTRACTED from implementation default,UNKNOWN calibration/source evidence; see TASK-PFI-B-001,medium,PFI/大数据模拟器/qbvs/indicators.py:25,NOT_APPLICABLE,PFI/大数据模拟器/tests/test_core.py:65,active,EXTRACTED,TASK-PFI-B-001,param-profile-20260620,2026-06-20,python_ast_default:PFI/大数据模拟器/qbvs/indicators.py::macd.fast,12,94478ef52caecb9d856bf4a0543719f8d50a9645,2026-06-21T12:19:34Z,sha256:64a9e55d532edca96eaee0c25aaa5f93669458e269e7aad1a7b86b2cfc4412dd,MACHINE_VERIFIED,
PARAM-043,MOD-002,FORM-002,macd_slow,MACD slow EMA span,indicator_default,integer,bars_or_score,26,26,26,NOT_APPLICABLE,,,,0,NOT_APPLICABLE,See formula_registry.yaml,EXTRACTED from implementation default,UNKNOWN calibration/source evidence; see TASK-PFI-B-001,medium,PFI/大数据模拟器/qbvs/indicators.py:25,NOT_APPLICABLE,PFI/大数据模拟器/tests/test_core.py:65,active,EXTRACTED,TASK-PFI-B-001,param-profile-20260620,2026-06-20,python_ast_default:PFI/大数据模拟器/qbvs/indicators.py::macd.slow,26,94478ef52caecb9d856bf4a0543719f8d50a9645,2026-06-21T12:19:34Z,sha256:bcbe0dfaaedbdb39cd33cd59dc398e08ff4c2f4e2a998abe3509f0e02b52dabf,MACHINE_VERIFIED,
PARAM-044,MOD-002,FORM-002,macd_signal,MACD signal EMA span,indicator_default,integer,bars_or_score,9,9,9,NOT_APPLICABLE,,,,0,NOT_APPLICABLE,See formula_registry.yaml,EXTRACTED from implementation default,UNKNOWN calibration/source evidence; see TASK-PFI-B-001,medium,PFI/大数据模拟器/qbvs/indicators.py:25,NOT_APPLICABLE,PFI/大数据模拟器/tests/test_core.py:65,active,EXTRACTED,TASK-PFI-B-001,param-profile-20260620,2026-06-20,python_ast_default:PFI/大数据模拟器/qbvs/indicators.py::macd.signal,9,94478ef52caecb9d856bf4a0543719f8d50a9645,2026-06-21T12:19:34Z,sha256:3ef054ed0cb19b194aee19afffa89e2da3887514920806c32cce4b0110b0ab3c,MACHINE_VERIFIED,
PARAM-045,MOD-002,FORM-002,atr_window_default,ATR default window,indicator_default,integer,bars_or_score,14,14,14,NOT_APPLICABLE,,,,0,NOT_APPLICABLE,See formula_registry.yaml,EXTRACTED from implementation default,UNKNOWN calibration/source evidence; see TASK-PFI-B-001,medium,PFI/大数据模拟器/qbvs/indicators.py:35,NOT_APPLICABLE,PFI/大数据模拟器/tests/test_core.py:65,active,EXTRACTED,TASK-PFI-B-001,param-profile-20260620,2026-06-20,python_ast_default:PFI/大数据模拟器/qbvs/indicators.py::atr.window,14,94478ef52caecb9d856bf4a0543719f8d50a9645,2026-06-21T12:19:34Z,sha256:8bb6d42e55781437a1f83bc52a794a70219de9a1bea9c04530c3f422712dcaf1,MACHINE_VERIFIED,
PARAM-046,MOD-003,FORM-003,initial_cash,CostModel initial_cash,cost_assumption,float,currency,100000.0,100000.0,100000.0,NOT_APPLICABLE,,,,0,NOT_APPLICABLE,See formula_registry.yaml,EXTRACTED from implementation default,UNKNOWN calibration/source evidence; see TASK-PFI-B-002,medium,PFI/大数据模拟器/qbvs/backtest.py:12,NOT_APPLICABLE,PFI/大数据模拟器/tests/test_core.py:65,active,EXTRACTED,TASK-PFI-B-002,param-profile-20260620,2026-06-20,python_ast_attr:PFI/大数据模拟器/qbvs/backtest.py::CostModel.initial_cash,100000,94478ef52caecb9d856bf4a0543719f8d50a9645,2026-06-21T12:19:34Z,sha256:466737ce5da97cd5e0f68e7e0fe171fefce58377a80622b95efc2a53f54cd37e,MACHINE_VERIFIED,
PARAM-047,MOD-003,FORM-003,commission_rate,CostModel commission_rate,cost_assumption,float,ratio,0.001,0.001,0.001,NOT_APPLICABLE,,,,0,NOT_APPLICABLE,See formula_registry.yaml,EXTRACTED from implementation default,UNKNOWN calibration/source evidence; see TASK-PFI-B-002,medium,PFI/大数据模拟器/qbvs/backtest.py:13,NOT_APPLICABLE,PFI/大数据模拟器/tests/test_core.py:65,active,EXTRACTED,TASK-PFI-B-002,param-profile-20260620,2026-06-20,python_ast_attr:PFI/大数据模拟器/qbvs/backtest.py::CostModel.commission_rate,0.001,94478ef52caecb9d856bf4a0543719f8d50a9645,2026-06-21T12:19:34Z,sha256:f6a0b526a14fa9cd14ea9d853a85c1352467e919e722c8cbc8299c5f8a423614,MACHINE_VERIFIED,
PARAM-048,MOD-003,FORM-003,slippage_bps,CostModel slippage_bps,cost_assumption,float,basis_points,5.0,5.0,5.0,NOT_APPLICABLE,,,,0,NOT_APPLICABLE,See formula_registry.yaml,EXTRACTED from implementation default,UNKNOWN calibration/source evidence; see TASK-PFI-B-002,medium,PFI/大数据模拟器/qbvs/backtest.py:14,NOT_APPLICABLE,PFI/大数据模拟器/tests/test_core.py:65,active,EXTRACTED,TASK-PFI-B-002,param-profile-20260620,2026-06-20,python_ast_attr:PFI/大数据模拟器/qbvs/backtest.py::CostModel.slippage_bps,5,94478ef52caecb9d856bf4a0543719f8d50a9645,2026-06-21T12:19:34Z,sha256:8af0a60e65b2f4cbfe728b87161296ebeb71dd55f99be1257c306cead9fb78ff,MACHINE_VERIFIED,
PARAM-049,MOD-003,FORM-003,market_impact_bps,CostModel market_impact_bps,cost_assumption,float,basis_points,0.0,0.0,0.0,NOT_APPLICABLE,,,,0,NOT_APPLICABLE,See formula_registry.yaml,EXTRACTED from implementation default,UNKNOWN calibration/source evidence; see TASK-PFI-B-002,medium,PFI/大数据模拟器/qbvs/backtest.py:15,NOT_APPLICABLE,PFI/大数据模拟器/tests/test_core.py:65,active,EXTRACTED,TASK-PFI-B-002,param-profile-20260620,2026-06-20,python_ast_attr:PFI/大数据模拟器/qbvs/backtest.py::CostModel.market_impact_bps,0,94478ef52caecb9d856bf4a0543719f8d50a9645,2026-06-21T12:19:34Z,sha256:8c0432d125b8a52e0c3d36a29dcb9bf0276d4dcab9edf838400732ccb934d113,MACHINE_VERIFIED,
PARAM-050,MOD-003,FORM-003,annualization,CostModel annualization,cost_assumption,integer,trading_days,252,252,252,NOT_APPLICABLE,,,,0,NOT_APPLICABLE,See formula_registry.yaml,EXTRACTED from implementation default,UNKNOWN calibration/source evidence; see TASK-PFI-B-002,medium,PFI/大数据模拟器/qbvs/backtest.py:16,NOT_APPLICABLE,PFI/大数据模拟器/tests/test_core.py:65,active,EXTRACTED,TASK-PFI-B-002,param-profile-20260620,2026-06-20,python_ast_attr:PFI/大数据模拟器/qbvs/backtest.py::CostModel.annualization,252,94478ef52caecb9d856bf4a0543719f8d50a9645,2026-06-21T12:19:34Z,sha256:cb8c5ee81a55043cc0e71cb11ccab741dea0460a226ed06d642084fa7269647a,MACHINE_VERIFIED,
PARAM-051,MOD-007,FORM-007,initial_cash,FastScreenConfig initial_cash,cost_assumption,float,currency,100000.0,100000.0,100000.0,NOT_APPLICABLE,,,,0,NOT_APPLICABLE,See formula_registry.yaml,EXTRACTED from implementation default,UNKNOWN calibration/source evidence; see TASK-PFI-B-004,medium,PFI/大数据模拟器/qbvs/fast.py:15,NOT_APPLICABLE,PFI/大数据模拟器/tests/test_core.py:359,active,EXTRACTED,TASK-PFI-B-004,param-profile-20260620,2026-06-20,python_ast_attr:PFI/大数据模拟器/qbvs/fast.py::FastScreenConfig.initial_cash,100000,94478ef52caecb9d856bf4a0543719f8d50a9645,2026-06-21T12:19:34Z,sha256:aefab9b036e1a3e79256879834337752288c06bbe5986eb98ad5ee296696207d,MACHINE_VERIFIED,
PARAM-052,MOD-007,FORM-007,commission_rate,FastScreenConfig commission_rate,cost_assumption,float,ratio,0.001,0.001,0.001,NOT_APPLICABLE,,,,0,NOT_APPLICABLE,See formula_registry.yaml,EXTRACTED from implementation default,UNKNOWN calibration/source evidence; see TASK-PFI-B-004,medium,PFI/大数据模拟器/qbvs/fast.py:16,NOT_APPLICABLE,PFI/大数据模拟器/tests/test_core.py:359,active,EXTRACTED,TASK-PFI-B-004,param-profile-20260620,2026-06-20,python_ast_attr:PFI/大数据模拟器/qbvs/fast.py::FastScreenConfig.commission_rate,0.001,94478ef52caecb9d856bf4a0543719f8d50a9645,2026-06-21T12:19:34Z,sha256:f1a5e80f7413e4785dc8c1d9672dc2a18504972d53a19c3c50a25df4522bee45,MACHINE_VERIFIED,
PARAM-053,MOD-007,FORM-007,slippage_bps,FastScreenConfig slippage_bps,cost_assumption,float,basis_points,5.0,5.0,5.0,NOT_APPLICABLE,,,,0,NOT_APPLICABLE,See formula_registry.yaml,EXTRACTED from implementation default,UNKNOWN calibration/source evidence; see TASK-PFI-B-004,medium,PFI/大数据模拟器/qbvs/fast.py:17,NOT_APPLICABLE,PFI/大数据模拟器/tests/test_core.py:359,active,EXTRACTED,TASK-PFI-B-004,param-profile-20260620,2026-06-20,python_ast_attr:PFI/大数据模拟器/qbvs/fast.py::FastScreenConfig.slippage_bps,5,94478ef52caecb9d856bf4a0543719f8d50a9645,2026-06-21T12:19:34Z,sha256:47f8e783294a5e63f26cf08a26994cf895e06629aa297dcf0e00198ac827815f,MACHINE_VERIFIED,
PARAM-054,MOD-007,FORM-007,market_impact_bps,FastScreenConfig market_impact_bps,cost_assumption,float,basis_points,0.0,0.0,0.0,NOT_APPLICABLE,,,,0,NOT_APPLICABLE,See formula_registry.yaml,EXTRACTED from implementation default,UNKNOWN calibration/source evidence; see TASK-PFI-B-004,medium,PFI/大数据模拟器/qbvs/fast.py:18,NOT_APPLICABLE,PFI/大数据模拟器/tests/test_core.py:359,active,EXTRACTED,TASK-PFI-B-004,param-profile-20260620,2026-06-20,python_ast_attr:PFI/大数据模拟器/qbvs/fast.py::FastScreenConfig.market_impact_bps,0,94478ef52caecb9d856bf4a0543719f8d50a9645,2026-06-21T12:19:34Z,sha256:0a4bc45d1ad832f57b6437450900900210d29e8d311cc8a5ae269e5a647e76d9,MACHINE_VERIFIED,
PARAM-055,MOD-007,FORM-007,annualization,FastScreenConfig annualization,cost_assumption,integer,trading_days,252,252,252,NOT_APPLICABLE,,,,0,NOT_APPLICABLE,See formula_registry.yaml,EXTRACTED from implementation default,UNKNOWN calibration/source evidence; see TASK-PFI-B-004,medium,PFI/大数据模拟器/qbvs/fast.py:19,NOT_APPLICABLE,PFI/大数据模拟器/tests/test_core.py:359,active,EXTRACTED,TASK-PFI-B-004,param-profile-20260620,2026-06-20,python_ast_attr:PFI/大数据模拟器/qbvs/fast.py::FastScreenConfig.annualization,252,94478ef52caecb9d856bf4a0543719f8d50a9645,2026-06-21T12:19:34Z,sha256:642eec24641ce81a140afa18c58c66486f845e1b1adf9c899b6baab438268e1e,MACHINE_VERIFIED,
PARAM-056,MOD-006,FORM-006,initial_cash,ValidationConfig initial_cash,cost_assumption,float,currency,100000.0,100000.0,100000.0,NOT_APPLICABLE,,,,0,NOT_APPLICABLE,See formula_registry.yaml,EXTRACTED from implementation default,UNKNOWN calibration/source evidence; see TASK-PFI-B-002,medium,PFI/大数据模拟器/qbvs/validation.py:17,NOT_APPLICABLE,PFI/大数据模拟器/tests/test_core.py:84,active,EXTRACTED,TASK-PFI-B-002,param-profile-20260620,2026-06-20,python_ast_attr:PFI/大数据模拟器/qbvs/validation.py::ValidationConfig.initial_cash,100000,94478ef52caecb9d856bf4a0543719f8d50a9645,2026-06-21T12:19:34Z,sha256:0393745587b238f93110146108f3c494a359605bbd072f63ced21d7c6329f2f8,MACHINE_VERIFIED,
PARAM-057,MOD-006,FORM-006,commission_rate,ValidationConfig commission_rate,cost_assumption,float,ratio,0.001,0.001,0.001,NOT_APPLICABLE,,,,0,NOT_APPLICABLE,See formula_registry.yaml,EXTRACTED from implementation default,UNKNOWN calibration/source evidence; see TASK-PFI-B-002,medium,PFI/大数据模拟器/qbvs/validation.py:18,NOT_APPLICABLE,PFI/大数据模拟器/tests/test_core.py:84,active,EXTRACTED,TASK-PFI-B-002,param-profile-20260620,2026-06-20,python_ast_attr:PFI/大数据模拟器/qbvs/validation.py::ValidationConfig.commission_rate,0.001,94478ef52caecb9d856bf4a0543719f8d50a9645,2026-06-21T12:19:34Z,sha256:d4ac31fb3d967561f5f4f4be5de61d2ff6382c15dea351e702b4dbb7c0b24f15,MACHINE_VERIFIED,
PARAM-058,MOD-006,FORM-006,slippage_bps,ValidationConfig slippage_bps,cost_assumption,float,basis_points,5.0,5.0,5.0,NOT_APPLICABLE,,,,0,NOT_APPLICABLE,See formula_registry.yaml,EXTRACTED from implementation default,UNKNOWN calibration/source evidence; see TASK-PFI-B-002,medium,PFI/大数据模拟器/qbvs/validation.py:19,NOT_APPLICABLE,PFI/大数据模拟器/tests/test_core.py:84,active,EXTRACTED,TASK-PFI-B-002,param-profile-20260620,2026-06-20,python_ast_attr:PFI/大数据模拟器/qbvs/validation.py::ValidationConfig.slippage_bps,5,94478ef52caecb9d856bf4a0543719f8d50a9645,2026-06-21T12:19:34Z,sha256:77150b1f95d9bd04bb53b2fc8ff1b52f5aac4e1ead6c109874d30a3b3ddb472c,MACHINE_VERIFIED,
PARAM-059,MOD-006,FORM-006,market_impact_bps,ValidationConfig market_impact_bps,cost_assumption,float,basis_points,0.0,0.0,0.0,NOT_APPLICABLE,,,,0,NOT_APPLICABLE,See formula_registry.yaml,EXTRACTED from implementation default,UNKNOWN calibration/source evidence; see TASK-PFI-B-002,medium,PFI/大数据模拟器/qbvs/validation.py:20,NOT_APPLICABLE,PFI/大数据模拟器/tests/test_core.py:84,active,EXTRACTED,TASK-PFI-B-002,param-profile-20260620,2026-06-20,python_ast_attr:PFI/大数据模拟器/qbvs/validation.py::ValidationConfig.market_impact_bps,0,94478ef52caecb9d856bf4a0543719f8d50a9645,2026-06-21T12:19:34Z,sha256:443c1e7b2ea0ac6b37b5e11ffa9ad8b5166378740f392a7e5535168d9fcfd287,MACHINE_VERIFIED,
PARAM-060,MOD-006,FORM-006,annualization,ValidationConfig annualization,cost_assumption,integer,trading_days,252,252,252,NOT_APPLICABLE,,,,0,NOT_APPLICABLE,See formula_registry.yaml,EXTRACTED from implementation default,UNKNOWN calibration/source evidence; see TASK-PFI-B-002,medium,PFI/大数据模拟器/qbvs/validation.py:21,NOT_APPLICABLE,PFI/大数据模拟器/tests/test_core.py:84,active,EXTRACTED,TASK-PFI-B-002,param-profile-20260620,2026-06-20,python_ast_attr:PFI/大数据模拟器/qbvs/validation.py::ValidationConfig.annualization,252,94478ef52caecb9d856bf4a0543719f8d50a9645,2026-06-21T12:19:34Z,sha256:8c8c050357df2e8913d66c4dc95a268b772c53087234af3c5c43b7d10516e5ea,MACHINE_VERIFIED,
PARAM-061,MOD-003,FORM-003,target_weight_min,target_weight_min,backtest_constraint,float,ratio_or_count,0.0,0.0,0.0,NOT_APPLICABLE,,,,0,1,See formula_registry.yaml,EXTRACTED from implementation default,UNKNOWN calibration/source evidence; see TASK-PFI-B-002,medium,PFI/大数据模拟器/qbvs/backtest.py:58,NOT_APPLICABLE,PFI/大数据模拟器/tests/test_core.py:65,active,EXTRACTED,TASK-PFI-B-002,param-profile-20260620,2026-06-20,python_ast_literal:PFI/大数据模拟器/qbvs/backtest.py:59:2,0,94478ef52caecb9d856bf4a0543719f8d50a9645,2026-06-21T12:19:34Z,sha256:63113c17186fcb9dc5d14615b0056eb90b1d66ecfa3e3b4a46b4e27439d72595,MACHINE_VERIFIED,
PARAM-062,MOD-003,FORM-003,target_weight_max,target_weight_max,backtest_constraint,float,ratio_or_count,1.0,1.0,1.0,NOT_APPLICABLE,,,,0,1,See formula_registry.yaml,EXTRACTED from implementation default,UNKNOWN calibration/source evidence; see TASK-PFI-B-002,medium,PFI/大数据模拟器/qbvs/backtest.py:58,NOT_APPLICABLE,PFI/大数据模拟器/tests/test_core.py:65,active,EXTRACTED,TASK-PFI-B-002,param-profile-20260620,2026-06-20,python_ast_literal:PFI/大数据模拟器/qbvs/backtest.py:59:3,1,94478ef52caecb9d856bf4a0543719f8d50a9645,2026-06-21T12:19:34Z,sha256:68deb00fac7f09a0f949ba47d9062a0bace4ccefba503878430b9bc9c76c9e82,MACHINE_VERIFIED,
PARAM-063,MOD-003,FORM-003,min_bars_normalize,min_bars_normalize,backtest_constraint,integer,ratio_or_count,30,30,30,NOT_APPLICABLE,,,,1,NOT_APPLICABLE,See formula_registry.yaml,EXTRACTED from implementation default,UNKNOWN calibration/source evidence; see TASK-PFI-B-002,medium,PFI/大数据模拟器/qbvs/backtest.py:45,NOT_APPLICABLE,PFI/大数据模拟器/tests/test_core.py:65,active,EXTRACTED,TASK-PFI-B-002,param-profile-20260620,2026-06-20,python_ast_literal:PFI/大数据模拟器/qbvs/backtest.py:44:1,30,94478ef52caecb9d856bf4a0543719f8d50a9645,2026-06-21T12:19:34Z,sha256:52689486112e7a75e56c932038332695c5bf863a6ba28db81c4ec746e55b6ca9,MACHINE_VERIFIED,
PARAM-064,MOD-003,FORM-003,trade_value_epsilon,trade_value_epsilon,backtest_constraint,float,ratio_or_count,1e-08,1e-08,1e-08,NOT_APPLICABLE,,,,0,NOT_APPLICABLE,See formula_registry.yaml,EXTRACTED from implementation default,UNKNOWN calibration/source evidence; see TASK-PFI-B-002,medium,PFI/大数据模拟器/qbvs/backtest.py:75,NOT_APPLICABLE,PFI/大数据模拟器/tests/test_core.py:65,active,EXTRACTED,TASK-PFI-B-002,param-profile-20260620,2026-06-20,python_ast_literal:PFI/大数据模拟器/qbvs/backtest.py:75:1,1e-08,94478ef52caecb9d856bf4a0543719f8d50a9645,2026-06-21T12:19:34Z,sha256:9fff679eabf877a2d86841f7959b00f79323c5ab6f2a6c9d362bfa6ac2cec238,MACHINE_VERIFIED,
PARAM-065,MOD-003,FORM-003,sharpe_vol_epsilon,sharpe_vol_epsilon,backtest_constraint,float,ratio_or_count,1e-12,1e-12,1e-12,NOT_APPLICABLE,,,,0,NOT_APPLICABLE,See formula_registry.yaml,EXTRACTED from implementation default,UNKNOWN calibration/source evidence; see TASK-PFI-B-002,medium,PFI/大数据模拟器/qbvs/backtest.py:146,NOT_APPLICABLE,PFI/大数据模拟器/tests/test_core.py:65,active,EXTRACTED,TASK-PFI-B-002,param-profile-20260620,2026-06-20,python_ast_literal:PFI/大数据模拟器/qbvs/backtest.py:143:1,0,94478ef52caecb9d856bf4a0543719f8d50a9645,2026-06-21T12:19:34Z,sha256:bc53b51d81d60cb0f84f9e447bd596b37eaf8b9e6ea0b417479da2ae19459159,MACHINE_VERIFIED,
PARAM-066,MOD-003,FORM-003,var_quantile,var_quantile,backtest_constraint,float,ratio_or_count,0.05,0.05,0.05,NOT_APPLICABLE,,,,0,1,See formula_registry.yaml,EXTRACTED from implementation default,UNKNOWN calibration/source evidence; see TASK-PFI-B-002,medium,PFI/大数据模拟器/qbvs/backtest.py:147,NOT_APPLICABLE,PFI/大数据模拟器/tests/test_core.py:65,active,EXTRACTED,TASK-PFI-B-002,param-profile-20260620,2026-06-20,python_ast_literal:PFI/大数据模拟器/qbvs/backtest.py:144:1,0.05,94478ef52caecb9d856bf4a0543719f8d50a9645,2026-06-21T12:19:34Z,sha256:89bf36f2f0490aedb1dbdee407e8e06e60f4701b7931760e4dd88c1c8160f0c3,MACHINE_VERIFIED,
PARAM-067,MOD-004,FORM-004,min_total_return_gap,min_total_return_gap,acceptance_floor,float,ratio,-0.08,-0.08,-0.08,NOT_APPLICABLE,,,,-1,1,See formula_registry.yaml,EXTRACTED from implementation default,UNKNOWN calibration/source evidence; see TASK-PFI-B-002,medium,PFI/大数据模拟器/qbvs/backtest.py:170,NOT_APPLICABLE,PFI/大数据模拟器/tests/test_core.py:76,active,EXTRACTED,TASK-PFI-B-002,param-profile-20260620,2026-06-20,text_regex:PFI/大数据模拟器/qbvs/backtest.py::total_gap >= (-?[0-9.]+),-0.08,94478ef52caecb9d856bf4a0543719f8d50a9645,2026-06-21T12:19:34Z,sha256:cd43b6305f7612107cee6681cc4b3f35bb08ef4752e146200e5a8d24480e4119,MACHINE_VERIFIED,
